gbifid;decimallongitude;decimallatitude;ISO_CC;CONTINENT;COUNTRY;speciesKey
147582329;-8.625000000000078;6.941666666666666;LBR;Africa;Liberia;2798175
147582330;-8.616666666666745;6.941666666666666;LBR;Africa;Liberia;2798175
147582331;-8.608333333333412;6.941666666666666;LBR;Africa;Liberia;2798175
147582332;-8.60000000000008;6.941666666666666;LBR;Africa;Liberia;2798175
147582333;-8.591666666666747;6.941666666666666;LBR;Africa;Liberia;2798175
147582334;-8.583333333333414;6.941666666666666;LBR;Africa;Liberia;2798175
147582335;-8.575000000000081;6.941666666666666;LBR;Africa;Liberia;2798175
147582336;-8.566666666666748;6.941666666666666;LBR;Africa;Liberia;2798175
147582337;-8.558333333333415;6.941666666666666;LBR;Africa;Liberia;2798175
147582338;-8.550000000000082;6.941666666666666;LBR;Africa;Liberia;2798175
147582339;-8.54166666666675;6.941666666666666;LBR;Africa;Liberia;2798175
147582340;-8.533333333333417;6.941666666666666;LBR;Africa;Liberia;2798175
147582341;-8.525000000000084;6.941666666666666;LBR;Africa;Liberia;2798175
147582342;-8.516666666666751;6.941666666666666;LBR;Africa;Liberia;2798175
147582343;-8.508333333333418;6.941666666666666;LBR;Africa;Liberia;2798175
147582344;-8.500000000000085;6.941666666666666;LBR;Africa;Liberia;2798175
147582345;-8.491666666666752;6.941666666666666;LBR;Africa;Liberia;2798175
147582346;-8.48333333333342;6.941666666666666;LBR;Africa;Liberia;2798175
147582347;-8.475000000000087;6.941666666666666;LBR;Africa;Liberia;2798175
147582348;-8.466666666666754;6.941666666666666;LBR;Africa;Liberia;2798175
147582349;-8.458333333333421;6.941666666666666;LBR;Africa;Liberia;2798175
147582350;-8.450000000000088;6.941666666666666;LBR;Africa;Liberia;2798175
147582351;-8.441666666666755;6.941666666666666;LBR;Africa;Liberia;2798175
147582352;-8.433333333333422;6.941666666666666;LBR;Africa;Liberia;2798175
147582353;-8.42500000000009;6.941666666666666;LBR;Africa;Liberia;2798175
147582354;-8.416666666666757;6.941666666666666;LBR;Africa;Liberia;2798175
147582355;-8.408333333333424;6.941666666666666;LBR;Africa;Liberia;2798175
147582356;-8.400000000000091;6.941666666666666;LBR;Africa;Liberia;2798175
147582357;-8.391666666666758;6.941666666666666;LBR;Africa;Liberia;2798175
147582358;-8.383333333333425;6.941666666666666;LBR;Africa;Liberia;2798175
147582359;-8.375000000000092;6.941666666666666;LBR;Africa;Liberia;2798175
