"","species","preds"
"207","Aerangis seegeri","Threatened"
"208","Aerangis somalensis","Not Threatened"
"209","Aerangis spiculata","Threatened"
"210","Aerangis splendida","Not Threatened"
"211","Aerangis stelligera","Not Threatened"
"212","Aerangis stylosa","Not Threatened"
"213","Aerangis thomsonii","Threatened"
"214","Aerangis ugandensis","Not Threatened"
"215","Aerangis verdickii","Not Threatened"
"216","Aeranthes adenopoda","Threatened"
"217","Aeranthes aemula","Threatened"
"218","Aeranthes angustidens","Threatened"
"219","Aeranthes antennophora","Threatened"
"220","Aeranthes arachnites","Threatened"
"221","Aeranthes bathieana","Threatened"
"222","Aeranthes caudata","Threatened"
"223","Aeranthes crassifolia","Threatened"
"224","Aeranthes ecalcarata","Not Threatened"
"225","Aeranthes filipes","Threatened"
"226","Aeranthes grandiflora","Not Threatened"
"227","Aeranthes laxiflora","Threatened"
"228","Aeranthes leandriana","Threatened"
"229","Aeranthes moratii","Threatened"
"230","Aeranthes multinodis","Threatened"
"231","Aeranthes nidus","Threatened"
"232","Aeranthes orophila","Threatened"
"233","Aeranthes parvula","Threatened"
"234","Aeranthes peyrotii","Threatened"
"235","Aeranthes polyanthemus","Threatened"
"236","Aeranthes ramosa","Threatened"
"237","Aeranthes robusta","Threatened"
"238","Aeranthes sambiranoensis","Threatened"
"239","Aeranthes schlechteri","Not Threatened"
"240","Aeranthes setiformis","Threatened"
"241","Aeranthes setipes","Threatened"
"242","Aeranthes strangulata","Not Threatened"
"243","Aeranthes subramosa","Threatened"
"244","Aeranthes tenella","Threatened"
"245","Aeranthes tricalcarata","Threatened"
"246","Aeranthes tropophila","Threatened"
"247","Aerides crassifolia","Threatened"
"248","Aerides crispa","Threatened"
"249","Aerides emericii","Threatened"
"250","Aerides falcata","Not Threatened"
"251","Aerides inflexa","Not Threatened"
"252","Aerides maculosa","Threatened"
"253","Aerides multiflora","Threatened"
"254","Aerides odorata","Not Threatened"
"255","Aerides quinquevulnera","Threatened"
"256","Aerides ringens","Threatened"
"257","Aerides rosea","Threatened"
"258","Aerides thibautiana","Not Threatened"
"259","Aganisia cyanea","Not Threatened"
"260","Aganisia fimbriata","Not Threatened"
"261","Aganisia pulchella","Not Threatened"
"262","Aglossorrhyncha aurea","Not Threatened"
"263","Aglossorrhyncha biflora","Not Threatened"
"264","Aglossorrhyncha fruticicola","Not Threatened"
"265","Aglossorrhyncha galanthiflora","Not Threatened"
"266","Aglossorrhyncha torricellensis","Not Threatened"
"267","Aglossorrhyncha viridis","Not Threatened"
"268","Agrostophyllum appendiculoides","Not Threatened"
"269","Agrostophyllum atrobrunneum","Not Threatened"
"270","Agrostophyllum beleense","Not Threatened"
"271","Agrostophyllum brachiatum","Not Threatened"
"272","Agrostophyllum brevipes","Not Threatened"
"273","Agrostophyllum callosum","Not Threatened"
"274","Agrostophyllum carrianum","Not Threatened"
"275","Agrostophyllum compressum","Not Threatened"
"276","Agrostophyllum crassicaule","Not Threatened"
"277","Agrostophyllum curvilabre","Not Threatened"
"278","Agrostophyllum cyatheicola","Not Threatened"
"279","Agrostophyllum cyathiforme","Not Threatened"
"280","Agrostophyllum cyclopense","Not Threatened"
"281","Agrostophyllum denbergeri","Not Threatened"
"282","Agrostophyllum dischorense","Not Threatened"
"283","Agrostophyllum dolychophyllum","Not Threatened"
"284","Agrostophyllum earinoides","Not Threatened"
"285","Agrostophyllum elatum","Not Threatened"
"286","Agrostophyllum elongatum","Not Threatened"
"287","Agrostophyllum fibrosum","Not Threatened"
"288","Agrostophyllum flexuosum","Not Threatened"
"289","Agrostophyllum globiceps","Threatened"
"290","Agrostophyllum glumaceum","Not Threatened"
"291","Agrostophyllum graminifolium","Not Threatened"
"292","Agrostophyllum grandiflorum","Not Threatened"
"293","Agrostophyllum grubbianum","Not Threatened"
"294","Agrostophyllum habbemense","Not Threatened"
"295","Agrostophyllum huonense","Not Threatened"
"296","Agrostophyllum indifferens","Not Threatened"
"297","Agrostophyllum javanicum","Not Threatened"
"298","Agrostophyllum kairoanum","Not Threatened"
"299","Agrostophyllum kaniense","Not Threatened"
"300","Agrostophyllum kerenganum","Not Threatened"
"301","Agrostophyllum lamellatum","Not Threatened"
"302","Agrostophyllum lampongense","Threatened"
"303","Agrostophyllum laterale","Not Threatened"
"304","Agrostophyllum laxum","Not Threatened"
"305","Agrostophyllum leucocephalum","Not Threatened"
"306","Agrostophyllum longifolium","Not Threatened"
"307","Agrostophyllum longinode","Not Threatened"
"308","Agrostophyllum longivaginatum","Threatened"
"309","Agrostophyllum macrocephalum","Not Threatened"
"310","Agrostophyllum majus","Not Threatened"
"311","Agrostophyllum malindangense","Threatened"
"312","Agrostophyllum megalurum","Not Threatened"
"313","Agrostophyllum militare","Not Threatened"
"314","Agrostophyllum milneanum","Not Threatened"
"315","Agrostophyllum montanum","Not Threatened"
"316","Agrostophyllum mucronatum","Not Threatened"
"317","Agrostophyllum myrianthum","Threatened"
"318","Agrostophyllum neoguinense","Not Threatened"
"319","Agrostophyllum paniculatum","Not Threatened"
"320","Agrostophyllum papuanum","Not Threatened"
"321","Agrostophyllum parviflorum","Not Threatened"
"322","Agrostophyllum patentissimum","Not Threatened"
"323","Agrostophyllum philippinense","Threatened"
"324","Agrostophyllum planicaule","Not Threatened"
"325","Agrostophyllum rigidifolium","Not Threatened"
"326","Agrostophyllum spicatum","Not Threatened"
"327","Agrostophyllum stenophyllum","Not Threatened"
"328","Agrostophyllum stipulatum","Not Threatened"
"329","Agrostophyllum subacuminatum","Not Threatened"
"330","Agrostophyllum sumatranum","Not Threatened"
"331","Agrostophyllum superpositum","Not Threatened"
"332","Agrostophyllum torricellense","Not Threatened"
"333","Agrostophyllum trifidum","Not Threatened"
"334","Agrostophyllum triquetrum","Not Threatened"
"335","Agrostophyllum uniflorum","Not Threatened"
"336","Agrostophyllum vanhulstijnii","Not Threatened"
"337","Agrostophyllum ventricosum","Not Threatened"
"338","Alamania punicea","Not Threatened"
"339","Altensteinia boliviensis","Not Threatened"
"340","Altensteinia citrina","Threatened"
"341","Altensteinia fimbriata","Not Threatened"
"342","Altensteinia longispicata","Not Threatened"
"343","Altensteinia virescens","Not Threatened"
"344","Amitostigma basifoliatum","Threatened"
"345","Amitostigma capitatum","Threatened"
"346","Amitostigma faberi","Threatened"
"347","Amitostigma hemipilioides","Threatened"
"348","Amitostigma kinoshitae","Threatened"
"349","Amitostigma simplex","Threatened"
"350","Amitostigma tetralobum","Threatened"
"351","Anacamptis boryi","Threatened"
"352","Anacamptis collina","Not Threatened"
"353","Anacamptis coriophora","Not Threatened"
"354","Anacamptis laxiflora","Not Threatened"
"355","Anacamptis morio","Not Threatened"
"356","Anacamptis palustris","Not Threatened"
"357","Anacamptis papilionacea","Not Threatened"
"358","Anacamptis pyramidalis","Not Threatened"
"359","Anacamptis sancta","Not Threatened"
"360","Anathallis acuminata","Not Threatened"
"361","Anathallis adenochila","Not Threatened"
"362","Anathallis angustilabia","Not Threatened"
"363","Anathallis aristulata","Threatened"
"364","Anathallis barbulata","Not Threatened"
"365","Anathallis bolsanelloi","Threatened"
"366","Anathallis brevipes","Not Threatened"
"367","Anathallis corticicola","Not Threatened"
"368","Anathallis dryadum","Not Threatened"
"369","Anathallis ferdinandiana","Threatened"
"370","Anathallis gert-hatschbachii","Threatened"
"371","Anathallis graveolens","Not Threatened"
"372","Anathallis guarujaensis","Threatened"
"373","Anathallis involuta","Not Threatened"
"374","Anathallis jesupiorum","Threatened"
"375","Anathallis lagarophyta","Not Threatened"
"376","Anathallis lewisiae","Not Threatened"
"377","Anathallis linearifolia","Not Threatened"
"378","Anathallis liparanges","Not Threatened"
"379","Anathallis malmeana","Not Threatened"
"380","Anathallis microphyta","Not Threatened"
"381","Anathallis minutalis","Not Threatened"
"382","Anathallis montipelladensis","Not Threatened"
"383","Anathallis obovata","Not Threatened"
"384","Anathallis ourobranquensis","Threatened"
"385","Anathallis pabstii","Not Threatened"
"386","Anathallis papuligera","Not Threatened"
"387","Anathallis pubipetala","Not Threatened"
"388","Anathallis pusilla","Not Threatened"
"389","Anathallis radialis","Not Threatened"
"390","Anathallis scariosa","Not Threatened"
"391","Anathallis sclerophylla","Not Threatened"
"392","Anathallis sertularioides","Not Threatened"
"393","Anathallis sororcula","Not Threatened"
"394","Anathallis spiculifera","Not Threatened"
"395","Anathallis ypirangae","Not Threatened"
"396","Ancistrochilus rothschildianus","Not Threatened"
"397","Ancistrochilus thomsonianus","Threatened"
"398","Ancistrorhynchus akeassiae","Threatened"
"399","Ancistrorhynchus capitatus","Not Threatened"
"400","Ancistrorhynchus cephalotes","Not Threatened"
"401","Ancistrorhynchus clandestinus","Not Threatened"
"402","Ancistrorhynchus crystalensis","Threatened"
"403","Ancistrorhynchus laxiflorus","Threatened"
"404","Ancistrorhynchus metteniae","Not Threatened"
"405","Ancistrorhynchus ovatus","Threatened"
"406","Ancistrorhynchus parviflorus","Threatened"
"407","Ancistrorhynchus recurvus","Not Threatened"
"408","Ancistrorhynchus refractus","Threatened"
